pickup_lat,pickup_lon,dropoff_lat,dropoff_lon,duration_s,distance,cost_proxy,hour_of_day,cost_per_unit,duration_per_unit,label
40.74700927734375,-73.98149871826173,40.737979888916016,-73.99807739257811,438.0,1.41,7.0,16.0,4.964539007092199,310.63829787234044,0
40.707298278808594,-74.01222229003906,40.79497528076172,-73.96737670898438,1531.0,7.83,26.0,21.0,3.3205619412515963,195.53001277139208,0
40.64516830444336,-73.77674865722656,40.74876403808594,-73.94009399414062,1772.0,15.35,43.5,0.0,2.8338762214983713,115.43973941368078,0
40.77115249633789,-73.98331451416014,40.761940002441406,-73.99019622802734,224.0,0.76,5.0,13.0,6.578947368421052,294.7368421052632,1
40.78232192993164,-73.97156524658203,40.76101303100586,-73.99471282958984,701.0,2.53,11.0,22.0,4.347826086956522,277.07509881422925,0
40.72524642944336,-74.00318908691406,40.76569747924805,-73.95468902587889,1734.0,4.51,20.5,20.0,4.545454545454546,384.4789356984479,0
40.75379180908203,-73.97003936767578,40.74200820922852,-73.97469329833984,408.0,1.0,6.5,7.0,6.5,408.0,0
40.75593948364258,-73.9791259765625,40.76055908203125,-73.97169494628906,336.0,0.6,5.5,13.0,9.166666666666668,560.0,1
40.75399017333984,-73.98984527587889,40.727245330810554,-73.98830413818358,1017.0,2.4,12.5,12.0,5.208333333333334,423.75,0
40.7478904724121,-73.99289703369139,40.740535736083984,-73.99037170410156,250.0,0.7,5.0,15.0,7.142857142857143,357.14285714285717,1
40.74554061889648,-73.9944610595703,40.70417785644531,-74.00900268554686,1100.0,3.8,15.5,0.0,4.078947368421053,289.47368421052636,0
40.767139434814446,-73.98988342285155,40.7768783569336,-73.97922515869139,505.0,1.3,7.5,14.0,5.769230769230769,388.46153846153845,0
40.78001022338867,-73.98455047607422,40.76227188110352,-73.97077941894531,1368.0,1.96,15.0,9.0,7.653061224489796,697.9591836734694,0
40.755496978759766,-73.97154998779298,40.764835357666016,-73.97899627685547,588.0,1.07,7.5,17.0,7.009345794392523,549.5327102803737,0
40.70731735229492,-74.0037384033203,40.73630142211913,-73.97684478759764,564.0,3.49,12.0,14.0,3.438395415472779,161.60458452722062,0
40.76823806762695,-73.9848403930664,40.78986740112305,-73.97792053222656,524.0,2.1,9.5,0.0,4.523809523809524,249.52380952380952,0
40.73007583618164,-73.9928207397461,40.72343063354492,-73.98299407958984,266.0,0.8,5.5,6.0,6.875,332.5,1
40.79079818725586,-73.97825622558594,40.836620330810554,-73.94841766357422,778.0,3.81,13.5,22.0,3.543307086614173,204.19947506561678,0
40.74641418457031,-73.99366760253906,40.7740478515625,-73.98057556152342,940.0,2.5,12.0,7.0,4.8,376.0,0
40.76810073852539,-73.96627044677734,40.762889862060554,-73.97703552246092,370.0,0.9,6.5,19.0,7.222222222222222,411.1111111111111,1
40.7674674987793,-73.9533920288086,40.73751831054688,-73.98729705810547,830.0,3.44,13.0,9.0,3.7790697674418605,241.27906976744185,0
40.73579025268555,-73.98946380615233,40.78250503540039,-73.9729232788086,1395.0,4.11,17.5,20.0,4.257907542579075,339.41605839416053,0
40.77054977416992,-73.98213195800781,40.74827194213867,-73.98934173583984,669.0,1.8,9.0,14.0,5.0,371.6666666666667,0
40.74958419799805,-74.00303649902342,40.739849090576165,-73.99867248535155,462.0,0.9,6.5,18.0,7.222222222222222,513.3333333333334,1
40.758647918701165,-73.98279571533203,40.76968383789063,-73.86405944824217,1649.0,10.4,31.5,12.0,3.0288461538461537,158.5576923076923,0
40.78993988037109,-73.96607971191406,40.779163360595696,-73.95374298095702,679.0,1.47,9.0,15.0,6.122448979591836,461.9047619047619,0
40.78445816040039,-73.94709014892578,40.76239013671875,-73.9677734375,1497.0,2.08,16.0,7.0,7.692307692307692,719.7115384615385,0
40.78359603881836,-73.94783782958984,40.8038215637207,-73.96392059326173,706.0,2.2,10.5,17.0,4.7727272727272725,320.9090909090909,0
